Date,Timestamp,,Timestamp,Phase 1,Phase 2,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances
07/07/2020,14:03:04,07/07/2020 14:03:04,1594130584.00,6.97,0.56,7.53,240,1806.55,5.75,Air conditioner-York
07/07/2020,14:03:05,07/07/2020 14:03:05,1594130585.00,7.00,0.55,7.55,240,1812.30,8.60,Air conditioner-York
07/07/2020,14:03:06,07/07/2020 14:03:06,1594130586.00,7.04,0.55,7.59,240,1820.90,8.54,Air conditioner-York
07/07/2020,14:03:07,07/07/2020 14:03:07,1594130587.00,7.07,0.55,7.62,240,1829.44,6.38,Air conditioner-York
07/07/2020,14:03:09,07/07/2020 14:03:09,1594130589.00,7.08,0.56,7.65,240,1835.82,-7.50,Air conditioner-York
07/07/2020,14:03:10,07/07/2020 14:03:10,1594130590.00,7.06,0.55,7.62,240,1828.32,10.42,Air conditioner-York
07/07/2020,14:03:11,07/07/2020 14:03:11,1594130591.00,7.12,0.54,7.66,240,1838.73,-11.48,Air conditioner-York
07/07/2020,14:03:13,07/07/2020 14:03:13,1594130593.00,7.07,0.54,7.61,240,1827.25,-2.68,Air conditioner-York
07/07/2020,14:03:14,07/07/2020 14:03:14,1594130594.00,7.05,0.56,7.60,240,1824.57,4.57,Air conditioner-York
07/07/2020,14:03:15,07/07/2020 14:03:15,1594130595.00,7.07,0.55,7.62,240,1829.14,15.16,Air conditioner-York
07/07/2020,14:03:17,07/07/2020 14:03:17,1594130597.00,7.14,0.55,7.68,240,1844.30,-6.15,Air conditioner-York
07/07/2020,14:03:18,07/07/2020 14:03:18,1594130598.00,7.10,0.56,7.66,240,1838.15,-5.51,Air conditioner-York
07/07/2020,14:03:19,07/07/2020 14:03:19,1594130599.00,7.08,0.56,7.64,240,1832.64,-4.82,Air conditioner-York
07/07/2020,14:03:21,07/07/2020 14:03:21,1594130601.00,7.07,0.55,7.62,240,1827.83,9.76,Air conditioner-York
07/07/2020,14:03:22,07/07/2020 14:03:22,1594130602.00,7.10,0.55,7.66,240,1837.58,12.78,Air conditioner-York
07/07/2020,14:03:23,07/07/2020 14:03:23,1594130603.00,7.16,0.55,7.71,240,1850.36,3.94,Air conditioner-York
07/07/2020,14:03:24,07/07/2020 14:03:24,1594130604.00,7.17,0.56,7.73,240,1854.30,-3.66,Air conditioner-York
07/07/2020,14:03:26,07/07/2020 14:03:26,1594130606.00,7.14,0.57,7.71,240,1850.64,-1.62,Air conditioner-York
07/07/2020,14:03:27,07/07/2020 14:03:27,1594130607.00,7.15,0.56,7.70,240,1849.02,-0.08,Air conditioner-York
07/07/2020,14:03:28,07/07/2020 14:03:28,1594130608.00,7.16,0.55,7.70,240,1848.94,7.14,Air conditioner-York
07/07/2020,14:03:30,07/07/2020 14:03:30,1594130610.00,7.18,0.55,7.73,240,1856.08,-2.04,Air conditioner-York
07/07/2020,14:03:31,07/07/2020 14:03:31,1594130611.00,7.18,0.54,7.73,240,1854.04,2.37,Air conditioner-York
07/07/2020,14:03:32,07/07/2020 14:03:32,1594130612.00,7.18,0.56,7.74,240,1856.41,-3.33,Air conditioner-York
07/07/2020,14:03:34,07/07/2020 14:03:34,1594130614.00,7.17,0.56,7.72,240,1853.08,-10.22,Air conditioner-York
07/07/2020,14:03:35,07/07/2020 14:03:35,1594130615.00,7.13,0.55,7.68,240,1842.86,-3.13,Air conditioner-York
07/07/2020,14:03:36,07/07/2020 14:03:36,1594130616.00,7.12,0.54,7.67,240,1839.73,4.59,Air conditioner-York
07/07/2020,14:03:38,07/07/2020 14:03:38,1594130618.00,7.13,0.56,7.68,240,1844.32,-4.04,Air conditioner-York
07/07/2020,14:03:39,07/07/2020 14:03:39,1594130619.00,7.12,0.55,7.67,240,1840.27,-1.64,Air conditioner-York
07/07/2020,14:03:40,07/07/2020 14:03:40,1594130620.00,7.11,0.55,7.66,240,1838.63,6.94,Air conditioner-York
07/07/2020,14:03:41,07/07/2020 14:03:41,1594130621.00,7.13,0.56,7.69,240,1845.57,1.13,Air conditioner-York
07/07/2020,14:03:43,07/07/2020 14:03:43,1594130623.00,7.14,0.56,7.69,240,1846.70,-0.37,Air conditioner-York
07/07/2020,14:03:44,07/07/2020 14:03:44,1594130624.00,7.15,0.55,7.69,240,1846.33,4.15,Air conditioner-York
07/07/2020,14:03:45,07/07/2020 14:03:45,1594130625.00,7.16,0.55,7.71,240,1850.47,14.33,Air conditioner-York
07/07/2020,14:03:47,07/07/2020 14:03:47,1594130627.00,7.21,0.56,7.77,240,1864.80,-0.33,Air conditioner-York
07/07/2020,14:03:48,07/07/2020 14:03:48,1594130628.00,7.22,0.55,7.77,240,1864.47,-16.67,Air conditioner-York
07/07/2020,14:03:49,07/07/2020 14:03:49,1594130629.00,7.15,0.55,7.70,240,1847.80,-2.43,Air conditioner-York
07/07/2020,14:03:51,07/07/2020 14:03:51,1594130631.00,7.14,0.55,7.69,240,1845.37,8.51,Air conditioner-York
07/07/2020,14:03:52,07/07/2020 14:03:52,1594130632.00,7.17,0.55,7.72,240,1853.88,6.14,Air conditioner-York
07/07/2020,14:03:53,07/07/2020 14:03:53,1594130633.00,7.21,0.54,7.75,240,1860.01,7.17,Air conditioner-York
07/07/2020,14:03:55,07/07/2020 14:03:55,1594130635.00,7.23,0.55,7.78,240,1867.19,1.82,Air conditioner-York
07/07/2020,14:03:56,07/07/2020 14:03:56,1594130636.00,7.24,0.55,7.79,240,1869.01,-6.99,Air conditioner-York
07/07/2020,14:03:57,07/07/2020 14:03:57,1594130637.00,7.21,0.55,7.76,240,1862.02,-10.55,Air conditioner-York
