Meter,Date,Time,,Timestamp,Aggregated Current,Voltage,Aggregated Power,Delta,Appliances ,Mode
,02/07/2020,17:11:47,07/02/2020 17:11:47,1581095507,10.93,240,2622.69,17.92,,
,02/07/2020,17:11:48,07/02/2020 17:11:48,1581095508,11.00,240,2640.61,-12.64,,
,02/07/2020,17:11:49,07/02/2020 17:11:49,1581095509,10.95,240,2627.97,43.01,,
,02/07/2020,17:11:50,07/02/2020 17:11:50,1581095510,11.13,240,2670.98,-26.35,,
,02/07/2020,17:11:52,07/02/2020 17:11:52,1581095512,11.02,240,2644.63,-18.29,,
,02/07/2020,17:11:53,07/02/2020 17:11:53,1581095513,10.94,240,2626.35,26.15,,
,02/07/2020,17:11:54,07/02/2020 17:11:54,1581095514,11.05,240,2652.50,-35.31,,
,02/07/2020,17:11:55,07/02/2020 17:11:55,1581095515,10.90,240,2617.19,14.86,,
,02/07/2020,17:11:56,07/02/2020 17:11:56,1581095516,10.97,240,2632.05,27.78,,
,02/07/2020,17:11:58,07/02/2020 17:11:58,1581095518,11.08,240,2659.83,-27.28,,
,02/07/2020,17:11:59,07/02/2020 17:11:59,1581095519,10.97,240,2632.55,15.41,,
,02/07/2020,17:12:00,07/02/2020 17:12:00,1581095520,11.03,240,2647.95,-10.44,,
,02/07/2020,17:12:01,07/02/2020 17:12:01,1581095521,10.99,240,2637.52,0.34,,
,02/07/2020,17:12:02,07/02/2020 17:12:02,1581095522,10.99,240,2637.86,19.92,,
,02/07/2020,17:12:04,07/02/2020 17:12:04,1581095524,11.07,240,2657.78,-22.63,,
,02/07/2020,17:12:05,07/02/2020 17:12:05,1581095525,10.98,240,2635.15,7.04,,
,02/07/2020,17:12:06,07/02/2020 17:12:06,1581095526,11.01,240,2642.20,-10.33,,
,02/07/2020,17:12:07,07/02/2020 17:12:07,1581095527,10.97,240,2631.87,23.36,,
,02/07/2020,17:12:08,07/02/2020 17:12:08,1581095528,11.06,240,2655.23,-9.72,,
,02/07/2020,17:12:09,07/02/2020 17:12:09,1581095529,11.02,240,2645.51,5.05,,
,02/07/2020,17:12:11,07/02/2020 17:12:11,1581095531,11.04,240,2650.56,-11.85,,
,02/07/2020,17:12:12,07/02/2020 17:12:12,1581095532,10.99,240,2638.72,9.67,,
,02/07/2020,17:12:13,07/02/2020 17:12:13,1581095533,11.03,240,2648.39,-26.30,,
,02/07/2020,17:12:14,07/02/2020 17:12:14,1581095534,10.93,240,2622.09,57.92,,
,02/07/2020,17:12:15,07/02/2020 17:12:15,1581095535,11.17,240,2680.01,-62.52,,
,02/07/2020,17:12:17,07/02/2020 17:12:17,1581095537,10.91,240,2617.49,29.58,,
,02/07/2020,17:12:18,07/02/2020 17:12:18,1581095538,11.03,240,2647.07,-5.99,,
,02/07/2020,17:12:19,07/02/2020 17:12:19,1581095539,11.00,240,2641.07,2.72,,
,02/07/2020,17:12:20,07/02/2020 17:12:20,1581095540,11.02,240,2643.80,19.77,,
,02/07/2020,17:12:21,07/02/2020 17:12:21,1581095541,11.10,240,2663.57,-35.30,,
,02/07/2020,17:12:23,07/02/2020 17:12:23,1581095543,10.95,240,2628.27,27.24,,
,02/07/2020,17:12:24,07/02/2020 17:12:24,1581095544,11.06,240,2655.51,-32.41,,
,02/07/2020,17:12:25,07/02/2020 17:12:25,1581095545,10.93,240,2623.10,30.32,,
,02/07/2020,17:12:26,07/02/2020 17:12:26,1581095546,11.06,240,2653.42,-20.75,,
,02/07/2020,17:12:27,07/02/2020 17:12:27,1581095547,10.97,240,2632.67,23.20,,
,02/07/2020,17:12:29,07/02/2020 17:12:29,1581095549,11.07,240,2655.87,-17.48,,
,02/07/2020,17:12:30,07/02/2020 17:12:30,1581095550,10.99,240,2638.38,-12.61,,
,02/07/2020,17:12:31,07/02/2020 17:12:31,1581095551,10.94,240,2625.77,28.21,,
,02/07/2020,17:12:32,07/02/2020 17:12:32,1581095552,11.06,240,2653.98,-8.92,,
,02/07/2020,17:12:33,07/02/2020 17:12:33,1581095553,11.02,240,2645.06,-10.85,,
,02/07/2020,17:12:35,07/02/2020 17:12:35,1581095555,10.98,240,2634.21,6.20,,
,02/07/2020,17:12:36,07/02/2020 17:12:36,1581095556,11.00,240,2640.41,-30.97,,
,02/07/2020,17:12:37,07/02/2020 17:12:37,1581095557,10.87,240,2609.44,42.89,,
,02/07/2020,17:12:38,07/02/2020 17:12:38,1581095558,11.05,240,2652.33,-9.05,,
,02/07/2020,17:12:39,07/02/2020 17:12:39,1581095559,11.01,240,2643.29,14.88,,
,02/07/2020,17:12:41,07/02/2020 17:12:41,1581095561,11.08,240,2658.17,-19.62,,
,02/07/2020,17:12:42,07/02/2020 17:12:42,1581095562,10.99,240,2638.54,6.50,,
,02/07/2020,17:12:43,07/02/2020 17:12:43,1581095563,11.02,240,2645.05,13.89,,
,02/07/2020,17:12:44,07/02/2020 17:12:44,1581095564,11.08,240,2658.93,-18.87,,
,02/07/2020,17:12:45,07/02/2020 17:12:45,1581095565,11.00,240,2640.06,23.25,,
,02/07/2020,17:12:47,07/02/2020 17:12:47,1581095567,11.10,240,2663.31,-38.45,,
,02/07/2020,17:12:48,07/02/2020 17:12:48,1581095568,10.94,240,2624.86,55.28,,
,02/07/2020,17:12:49,07/02/2020 17:12:49,1581095569,11.17,240,2680.14,-2149.30,,
,02/07/2020,17:12:50,07/02/2020 17:12:50,1581095570,2.21,240,530.84,36.98,Water Heater OFF,
,02/07/2020,17:12:51,07/02/2020 17:12:51,1581095571,2.37,240,567.82,3.49,,
,02/07/2020,17:12:53,07/02/2020 17:12:53,1581095573,2.38,240,571.31,12.19,,
,02/07/2020,17:12:54,07/02/2020 17:12:54,1581095574,2.43,240,583.49,-12.45,,
,02/07/2020,17:12:55,07/02/2020 17:12:55,1581095575,2.38,240,571.04,4.49,,
,02/07/2020,17:12:56,07/02/2020 17:12:56,1581095576,2.40,240,575.53,-7.05,,
,02/07/2020,17:12:57,07/02/2020 17:12:57,1581095577,2.37,240,568.48,14.37,,
,02/07/2020,17:12:58,07/02/2020 17:12:58,1581095578,2.43,240,582.85,-11.90,,
,02/07/2020,17:13:00,07/02/2020 17:13:00,1581095580,2.38,240,570.95,-7.41,,
,02/07/2020,17:13:01,07/02/2020 17:13:01,1581095581,2.35,240,563.53,3.89,,
,02/07/2020,17:13:02,07/02/2020 17:13:02,1581095582,2.36,240,567.42,9.01,,
,02/07/2020,17:13:03,07/02/2020 17:13:03,1581095583,2.40,240,576.43,-11.66,,
,02/07/2020,17:13:05,07/02/2020 17:13:05,1581095585,2.35,240,564.78,6.87,,
,02/07/2020,17:13:06,07/02/2020 17:13:06,1581095586,2.38,240,571.65,0.20,,
,02/07/2020,17:13:07,07/02/2020 17:13:07,1581095587,2.38,240,571.85,-7.17,,
,02/07/2020,17:13:08,07/02/2020 17:13:08,1581095588,2.35,240,564.67,9.56,,
,02/07/2020,17:13:09,07/02/2020 17:13:09,1581095589,2.39,240,574.23,-1.79,,
,02/07/2020,17:13:10,07/02/2020 17:13:10,1581095590,2.39,240,572.44,-9.80,,
,02/07/2020,17:13:12,07/02/2020 17:13:12,1581095592,2.34,240,562.64,5.27,,
,02/07/2020,17:13:13,07/02/2020 17:13:13,1581095593,2.37,240,567.91,9.16,,
,02/07/2020,17:13:14,07/02/2020 17:13:14,1581095594,2.40,240,577.07,-10.99,,
,02/07/2020,17:13:15,07/02/2020 17:13:15,1581095595,2.36,240,566.08,6.02,,
,02/07/2020,17:13:17,07/02/2020 17:13:17,1581095597,2.38,240,572.10,-3.60,,
,02/07/2020,17:13:18,07/02/2020 17:13:18,1581095598,2.37,240,568.50,5.79,,
,02/07/2020,17:13:19,07/02/2020 17:13:19,1581095599,2.39,240,574.29,-1.52,,
,02/07/2020,17:13:20,07/02/2020 17:13:20,1581095600,2.39,240,572.77,-0.67,,
,02/07/2020,17:13:21,07/02/2020 17:13:21,1581095601,2.38,240,572.09,-12.81,,
,02/07/2020,17:13:22,07/02/2020 17:13:22,1581095602,2.33,240,559.28,20.93,,
,02/07/2020,17:13:24,07/02/2020 17:13:24,1581095604,2.42,240,580.21,-7.89,,
,02/07/2020,17:13:25,07/02/2020 17:13:25,1581095605,2.38,240,572.32,-9.50,,
,02/07/2020,17:13:26,07/02/2020 17:13:26,1581095606,2.35,240,562.82,6.87,,
,02/07/2020,17:13:27,07/02/2020 17:13:27,1581095607,2.37,240,569.69,12.04,,
,02/07/2020,17:13:29,07/02/2020 17:13:29,1581095609,2.42,240,581.72,-16.76,,
,02/07/2020,17:13:30,07/02/2020 17:13:30,1581095610,2.35,240,564.97,3.68,,
,02/07/2020,17:13:31,07/02/2020 17:13:31,1581095611,2.37,240,568.65,2.11,,
,02/07/2020,17:13:32,07/02/2020 17:13:32,1581095612,2.38,240,570.75,2.52,,
,02/07/2020,17:13:33,07/02/2020 17:13:33,1581095613,2.39,240,573.27,-4.71,,
,02/07/2020,17:13:34,07/02/2020 17:13:34,1581095614,2.37,240,568.56,1.30,,
,02/07/2020,17:13:36,07/02/2020 17:13:36,1581095616,2.37,240,569.86,-7.06,,
,02/07/2020,17:13:37,07/02/2020 17:13:37,1581095617,2.35,240,562.80,9.58,,
,02/07/2020,17:13:38,07/02/2020 17:13:38,1581095618,2.38,240,572.38,2.45,,
